type	source	date	amount	purpose_scrubbed	property_scrubbed	purpose	property	city	state
government	Department of Defense	Mar 1, 2017	144.22	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of State	Mar 2, 2017	14930.3	Other	Trump Hotel Vancouver	N/A	Trump International Hotel & Tower Vancouver	Vancouver	British Columbia
government	Department of Defense	Mar 2, 2017	922.05	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Mar 3, 2017	10.0	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 3, 2017	38.48	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 4, 2017	162.8	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	Mar 5, 2017	57.17	Food	Trump Hotel Honolulu	Drinking Place	Trump International Hotel Waikiki	Honolulu	HI
government	Department of Defense	Mar 5, 2017	7051.2	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Mar 5, 2017	1469.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Mar 7, 2017	39.94	Food	Trump Hotel Honolulu	Drinking Place	Trump International Hotel Waikiki	Honolulu	HI
government	Department of Defense	Mar 7, 2017	141.88	Food	Trump Hotel Honolulu	Drinking Place	Trump International Hotel Waikiki	Honolulu	HI
government	Department of Defense	Mar 7, 2017	948.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 9, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	227.56	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	188.5	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	144.22	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Mar 10, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	38.17	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	268.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	22.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 10, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 11, 2017	316.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of State	Mar 13, 2017	7421.69	Other	Trump Golf Club Doonberg	N/A	Trump International Golf Links and Hotel Ireland	Doonberg	Ireland
government	Department of State	Mar 13, 2017	9312.17	Other	Trump Golf Club Doonberg	N/A	Trump International Golf Links and Hotel Ireland	Doonberg	Ireland
government	Department of Defense	Mar 16, 2017	306.61	Food	Trump Golf Club Palm Beach	Restaurant	Trump National Golf Club	561-8322600	FL
government	Department of Defense	Mar 18, 2017	43.5	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	Mar 19, 2017	1469.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club	Palm Beach	FL
government	Department of Defense	Mar 19, 2017	7051.2	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club	Palm Beach	FL
government	Department of Defense	Mar 23, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 23, 2017	169.43	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 23, 2017	306.73	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	
government	Department of Defense	Mar 23, 2017	182.42	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	
government	Department of Defense	Mar 23, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Mar 23, 2017	293.62	Food	Trump Golf Club Palm Beach	Restaurant	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Mar 24, 2017	1313.39	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Mar 24, 2017	227.7	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Mar 26, 2017	10.6	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	Mar 26, 2017	417.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Coast Guard	Mar 27, 2017	186.17	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Mar 31, 2017	2189.88	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Mar 31, 2017	5000.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Apr 2, 2017	25.55	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Commerce	Apr 4, 2017	277.09	Other	Trump Hotel D.C.	Redacted (Visa charge)	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 4, 2017	5.62	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	Apr 4, 2017	277.09	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	Apr 4, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Apr 5, 2017	6.71	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Apr 6, 2017	8.21	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Apr 6, 2017	5.35	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Apr 6, 2017	632.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Apr 6, 2017	32.15	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Apr 6, 2017	17.16	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Apr 7, 2017	15.95	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	Apr 7, 2017	89.88	Food	Trump Golf Club Palm Beach	Restaurant	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Apr 7, 2017	25.51	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Apr 7, 2017	11.42	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Apr 7, 2017	18.17	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Apr 7, 2017	584.33	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 7, 2017	89.88	Food	Trump Golf Club Palm Beach	Restaurant	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Commerce	Apr 9, 2017	35.09	Other	Trump Hotel D.C.	DC Occupancy Sales Tax	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 9, 2017	2938.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Apr 9, 2017	9401.6	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Commerce	Apr 9, 2017	242.0	Lodging	Trump Hotel D.C.	Hotels-Lodging 	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 10, 2017	242.0	Lodging	Trump Hotel D.C.	Hotels-Lodging 	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 10, 2017	56.0	Other	Trump Hotel D.C.	Valet Parking	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 10, 2017	120.1	Food	Trump Hotel D.C.	BLT Dinner	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 10, 2017	1422.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Commerce	Apr 10, 2017	35.09	Other	Trump Hotel D.C.	DC Occupancy Sales Tax	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 11, 2017	171.43	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Commerce	Apr 11, 2017	35.09	Other	Trump Hotel D.C.	DC Occupancy Sales Tax	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 11, 2017	61.4	Food	Trump Hotel D.C.	Benjamin Dinner	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 11, 2017	242.0	Lodging	Trump Hotel D.C.	Hotels-Lodging 	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 11, 2017	32.0	Food	Trump Hotel D.C.	Benjamin Dinner	Trump International Hotel Washington, D.C.	Washington	DC
government	Borough of Barrington, New Jersey	Apr 11, 2017	400.0	Event	Trump Golf Club	Lease or rental of conference space or facilities	Trump National Golf Club, Philadelphia		
government	Department of Commerce	Apr 11, 2017	56.0	Other	Trump Hotel D.C.	Valet Parking	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 12, 2017	1580.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Apr 12, 2017	632.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Commerce	Apr 12, 2017	35.09	Other	Trump Hotel D.C.	DC Occupancy Sales Tax	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 12, 2017	1926.5	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Commerce	Apr 12, 2017	76.9	Food	Trump Hotel D.C.	Benjamin Dinner	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 12, 2017	56.0	Other	Trump Hotel D.C.	Valet Parking	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 12, 2017	242.0	Lodging	Trump Hotel D.C.	Hotels-Lodging 	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 12, 2017	246.01	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Apr 12, 2017	1580.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Apr 13, 2017	115.65	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 13, 2017	171.02	Lodging	Trump Soho NY	Hotels-Lodging	Trump Hotel SoHo	New York	NY
government	Department of Commerce	Apr 13, 2017	56.0	Other	Trump Hotel D.C.	Valet Parking	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 13, 2017	115.65	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Commerce	Apr 13, 2017	35.09	Other	Trump Hotel D.C.	DC Occupancy Sales Tax	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 13, 2017	63.25	Other	Trump Hotel Honolulu	Financial Institution	Trump International Hotel Las Vegas	Honolulu	HI
government	Department of Defense	Apr 13, 2017	62.06	Lodging	Trump Soho NY	Hotels-Lodging	Trump Hotel SoHo	New York	NY
government	Department of Commerce	Apr 13, 2017	242.0	Lodging	Trump Hotel D.C.	Hotels-Lodging 	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 14, 2017	46.6	Food	Trump Hotel D.C.	Benjamin Dinner	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 14, 2017	56.0	Other	Trump Hotel D.C.	Valet Parking	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 14, 2017	242.0	Lodging	Trump Hotel D.C.	Hotels-Lodging 	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 14, 2017	35.09	Other	Trump Hotel D.C.	DC Occupancy Sales Tax	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 14, 2017	84.4	Food	Trump Hotel D.C.	Benjamin Dinner	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 15, 2017	56.0	Other	Trump Hotel D.C.	Valet Parking	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 15, 2017	35.09	Other	Trump Hotel D.C.	DC Occupancy Sales Tax	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Commerce	Apr 15, 2017	242.0	Lodging	Trump Hotel D.C.	Hotels-Lodging 	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of Defense	Apr 17, 2017	2080.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Apr 17, 2017	1560.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Coast Guard	Apr 18, 2017	1092.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Apr 22, 2017	98.64	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 24, 2017	502.57	Lodging	Trump Hotel Honolulu	Hotels-Lodging	Trump International Hotel Waikiki	Honolulu	HI
government	Department of Defense	Apr 24, 2017	502.57	Lodging	Trump Hotel Honolulu	Hotels-Lodging	Trump International Hotel Waikiki	Honolulu	HI
government	Department of Defense	Apr 25, 2017	2.12	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	Apr 25, 2017	44.0	Other	Trump Hotel Las Vegas	Financial Institution	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 25, 2017	104.0	Other	Trump Hotel Las Vegas	Financial Institution	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 25, 2017	11.74	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 25, 2017	22.49	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 25, 2017	204.0	Other	Trump Hotel Las Vegas	Financial Institution	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 26, 2017	181.41	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 26, 2017	204.0	Other	Trump Hotel Las Vegas	Financial Institution	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 26, 2017	204.0	Other	Trump Hotel Las Vegas	Financial Institution	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 26, 2017	115.65	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	445.59	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	593.65	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	21.49	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	15.16	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	10.74	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	41.66	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	445.59	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	742.65	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	71.7	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 27, 2017	445.59	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	685.35	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	742.65	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	699.51	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	776.07	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	20.3	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	644.43	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	959.95	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	653.5	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	674.15	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	635.84	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	594.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	934.39	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	653.92	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 28, 2017	629.11	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Apr 29, 2017	1123.33	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Apr 29, 2017	2.08	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 3, 2017	5.99	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 4, 2017	9.01	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 4, 2017	19.51	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 5, 2017	248.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 5, 2017	11.9	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 7, 2017	9.01	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 7, 2017	217.15	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 7, 2017	454.21	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 8, 2017	77.12	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 8, 2017	9618.78	Lodging	Trump Golf Club Bedminster	Hotels-Lodging	Trump National Golf Club - Bedminster	Bedminster	NJ
government	Department of Defense	May 8, 2017	2.7	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 8, 2017	3.73	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Borough of Pine Hill, New Jersey	May 8, 2017	400.0	Lodging	Trump Golf Club	Hotels-Lodging 	Trump National Golf Club, Philadelphia		
government	City of Doral, Florida	May 8, 2017	2883.17	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Department of Defense	May 9, 2017	7189.88	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club	561-8322600	FL
government	Department of Defense	May 9, 2017	9401.6	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club	S61-8322600	FL
government	Department of Defense	May 9, 2017	46.4	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	May 10, 2017	11.52	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 15, 2017	316.8	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 15, 2017	9.63	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 15, 2017	9.44	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 15, 2017	316.8	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 15, 2017	316.8	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 19, 2017	4.9	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 20, 2017	16.2	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	May 20, 2017	28.0	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	May 22, 2017	147.96	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 22, 2017	103.25	Lodging	Trump Hotel Honolulu	Hotels-Lodging	Trump International Hotel Waikiki	Honolulu	HI
government	Department of Defense	May 23, 2017	147.96	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 23, 2017	831.27	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	May 23, 2017	41.44	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	May 24, 2017	19.2	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	May 24, 2017	6.48	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 24, 2017	1308.36	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	May 25, 2017	1164.36	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	May 26, 2017	27.94	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
