type	source	date	amount	purpose_scrubbed	property_scrubbed	purpose	property	city	state
FEC	Robert Aderholt for Congress	Jan 26, 2018	358.1	Event	BLT Prime D.C	event food and beverage	BLT Prime	Washington	DC
FEC	Vote To Elect Republicans Now PAC (Vern Pac)	Jan 26, 2018	1000.0	Other	Other	political contribution	Trump Manatee	Bradenton	FL
FEC	America First Action, Inc.	Jan 27, 2018	940.24	Lodging	Trump Hotel Las Vegas	WALSH REIMBURSEMENT [SB21B.15929]: TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL LAS VEGAS	Las Vegas	NV
FEC	America First Action, Inc.	Jan 29, 2018	1850.0	Event	Trump Hotel D.C.	1ST BANKCARD PMT [SB21B.15922]: EVENT EXPENSE: FACILITY RENTAL/CATERING SERVICES	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	America First Action, Inc.	Jan 29, 2018	400.4	Event	Trump Hotel D.C.	1ST BANKCARD PMT [SB21B.15922]: EVENT EXPENSE: FACILITY RENTAL/CATERING SERVICES	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	America First Action, Inc.	Jan 29, 2018	47.4	Food	Benjamin Bar & Lounge D.C	1ST BANKCARD PMT [SB21B.15922]: FUNDRAISING EXPENSE	BENJAMIN BAR AND LOUNGE	Washington	DC
FEC	America First Action, Inc.	Jan 29, 2018	249.0	Food	Benjamin Bar & Lounge D.C	AHEARN REIMBURSEMENT [SB21B.15935]: FUNDRAISING EXPENSE	BENJAMIN BAR AND LOUNGE	Washington	DC
FEC	America First Action, Inc.	Jan 29, 2018	343.25	Lodging	Trump Hotel D.C.	REIMBURSEMENT [SB21B.18570]: TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	Collins for Congress	Jan 29, 2018	401.0	Food	BLT Prime D.C	Campaign dinner	Blt Prime	Washington	DC
FEC	America First Action, Inc.	Jan 30, 2018	41.96	Food	Trump Hotel D.C.	REIMBURSEMENT [SB21B.18570]: TRAVEL: MEALS	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	Bill Shuster for Congress	Jan 31, 2018	3112.2	Event	Trump Hotel D.C	EVENT CATERING	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Bergmann for Congress 2018	Feb 1, 2018	305.1	Food	Trump Hotel D.C	Food & Beverage	Trump International Hotel	Washington	DC
FEC	Greg Pence for Congress	Feb 1, 2018	2267.67	Lodging	Trump Hotel D.C	Lodging Expense	Trump International Hotel	Washington	DC
FEC	Indiana Republican State Committee, Inc.	Feb 1, 2018	831.15	Lodging	Trump Hotel D.C	Lodging Expense	Trump International Hotel	Washington	DC
FEC	Stewart for Senate Inc	Feb 1, 2018	67.8	Food	Trump Hotel D.C	MEETING EXPENSE-MEALS	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Conservative Roundtable	Feb 2, 2018	133.65	Food	BLT Prime D.C	PAC Food/Beverage	BLT Prime	Washington	DC
FEC	Conservative Roundtable	Feb 2, 2018	289.3	Food	BLT Prime D.C	PAC Food/Beverage	BLT Prime	Washington	DC
FEC	Greg Pence for Congress	Feb 2, 2018	649.95	Lodging	Trump Hotel D.C	Lodging Expense	Trump International Hotel	Washington	DC
FEC	The Committee To Defend the President	Feb 2, 2018	686.5	Lodging	Trump Hotel D.C	CAREY ACCT: LODGING	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Citizens for Turner	Feb 5, 2018	211.1	Food	Trump Hotel D.C	Meeting Food and Beverage	Trump International Hotel DC	Washington	DC
FEC	Roger Williams for U S Congress Committee	Feb 5, 2018	2934.54	Food	BLT Prime D.C	Food/Beverage	BLT Prime	Washington	DC
FEC	Republican National Committee	Feb 7, 2018	72.0	Event	Trump Hotel NY	CATERING/FOOD AND BEVERAGES	TRUMP HOTELS	New York	NY
FEC	Republican National Committee	Feb 7, 2018	606.4	Travel	Trump Hotel NY	TRAVEL EXPENSES	TRUMP HOTELS	New York	NY
FEC	NRCC	Feb 8, 2018	315.9	Food	Eric Trump Wine Manufacturing, LLC	FOOD/BEVERAGE	TRUMP WINERY	Charlottesville	VA
FEC	NRCC	Feb 8, 2018	1211.1	Travel	Trump Hotel D.C	TRAVEL	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	NRSC	Feb 8, 2018	33.0	Food	Trump Hotel D.C	FOOD/BEVERAGE	TRUMP HOTEL	Washington	DC
FEC	Brady for Congress	Feb 9, 2018	498.6	Food	BLT Prime D.C	Meetings and meals	BLT PRIME TRUMP DC	Washington	DC
FEC	NRSC	Feb 12, 2018	8733.99	Food	Trump Hotel D.C	FOOD/BEVERAGE	TRUMP INTERNATONAL HOTEL	Washington	DC
FEC	Republican National Committee	Feb 14, 2018	117155.17	Event	Trump Golf Club Miami	VENUE RENTAL AND CATERING	TRUMP NATIONAL DORAL MIAMI	Miami	FL
FEC	Republican National Committee	Feb 14, 2018	65395.92	Event	Trump Hotel D.C	VENUE RENTAL AND CATERING	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Stewart for Senate Inc	Feb 15, 2018	126.7	Food	Trump Hotel D.C	MEETING EXPENSE - MEALS	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Protect the House	Feb 21, 2018	3792.35	Event	Mar-a-Lago Club LLC	Catering	Mar-A-Lago	Palm Beach	FL
FEC	Omar Navarro for Congress	Feb 26, 2018	55.0	Travel	Trump Hotel Las Vegas	Travel	Trump Hotel	Las Vegas	NV
FEC	Protect the House	Feb 26, 2018	507.53	Event	Mar-a-Lago Club LLC	Catering	Mar-A-Lago	Palm Beach	FL
FEC	Stewart for Senate Inc	Feb 26, 2018	224.0	Food	Trump Hotel D.C	MEETING EXPENSE - MEALS	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Republican National Committee	Feb 28, 2018	87866.37	Event	Trump Golf Club Miami	VENUE RENTAL AND CATERING	TRUMP NATIONAL DORAL MIAMI	Miami	FL
